stock1,stock2,corr,pvalue,beta,half_life,vol,zscore,score,capital
5019.T,6752.T,0.961,0.0188,0.808,3.75,0.0389,-1.12,329.16,445350
4519.T,6471.T,0.909,0.0333,0.586,4.05,0.043,-1.62,322.88,970950
3407.T,8001.T,0.941,0.012,1.696,4.07,0.042,1.37,319.04,355850
1802.T,9531.T,0.966,0.0336,1.222,4.11,0.038,0.71,318.23,1076700
3407.T,6723.T,0.943,0.0341,0.747,4.06,0.0419,-1.26,315.0,430600
3402.T,8001.T,0.912,0.0289,1.29,4.73,0.0413,1.08,309.89,313650
5333.T,8725.T,0.962,0.0495,1.676,5.21,0.0487,1.95,308.28,849500
6752.T,8334.T,0.953,0.0485,1.184,3.79,0.0473,1.71,306.96,515700
5020.T,8015.T,0.959,0.0463,1.078,3.99,0.0404,0.82,306.76,781600
6326.T,6971.T,0.95,0.0016,1.294,3.01,0.0385,-0.43,305.68,533150
7269.T,7270.T,0.85,0.0375,0.617,8.93,0.0416,-1.09,304.33,438800
3289.T,9022.T,0.776,0.006,1.023,4.13,0.0404,0.83,303.49,559300
5332.T,6971.T,0.959,0.0386,1.634,3.78,0.0447,-1.26,301.44,800350
4523.T,6752.T,0.682,0.0451,0.212,7.0,0.0385,-0.56,300.1,776750
6305.T,6586.T,0.952,0.0011,1.217,2.7,0.0406,-0.54,298.41,1118200
4523.T,9104.T,0.678,0.0138,0.223,6.41,0.0377,-0.34,297.07,1125800
6302.T,6326.T,0.959,0.0008,1.014,2.67,0.0408,-0.49,294.91,796400
4519.T,8015.T,0.883,0.0104,0.656,5.61,0.0483,-1.58,293.4,1490600
4523.T,8058.T,0.711,0.0144,0.21,6.75,0.0368,-0.04,292.02,1004300
1802.T,3407.T,0.969,0.0187,1.16,4.04,0.0386,0.15,291.7,533350
4502.T,6503.T,0.928,0.002,0.932,5.56,0.0448,-1.11,291.38,1146300
4523.T,9107.T,0.658,0.0116,0.332,6.89,0.0388,-0.4,291.3,753800
6471.T,8830.T,0.969,0.0321,1.099,4.4,0.0415,-0.59,290.88,602550
4523.T,9531.T,0.633,0.0212,0.262,8.15,0.0403,0.62,289.22,1185700
4005.T,6301.T,0.879,0.0003,0.474,5.07,0.0399,-0.21,282.86,754909
8801.T,9022.T,0.805,0.016,1.251,3.8,0.0435,0.71,282.07,598000
1802.T,5021.T,0.945,0.0119,1.513,3.12,0.0455,0.83,281.57,811700
4523.T,9532.T,0.637,0.0229,0.238,7.58,0.0406,0.41,279.38,1107000
8015.T,8725.T,0.948,0.0472,1.361,4.88,0.0437,0.61,278.55,1043200
1803.T,4519.T,0.945,0.0002,1.362,2.24,0.0458,0.69,278.23,1138300
4063.T,6752.T,0.949,0.0157,0.762,3.63,0.0415,0.21,277.06,961250
1802.T,8725.T,0.96,0.0042,1.499,4.05,0.0433,-0.47,276.32,780600
4502.T,8015.T,0.937,0.0491,0.831,5.78,0.0412,0.22,275.64,1199000
4523.T,5332.T,0.613,0.0453,0.186,7.99,0.0412,0.4,275.04,1027100
8015.T,8802.T,0.957,0.0232,0.918,4.17,0.0409,0.03,272.03,1106800
1812.T,5021.T,0.906,0.0289,1.052,3.72,0.0431,-0.26,268.76,1050600
4523.T,5711.T,0.652,0.0443,0.131,8.05,0.0404,-0.1,268.46,1053800
4523.T,8031.T,0.648,0.0276,0.179,7.74,0.0401,0.02,266.99,1098600
4519.T,5201.T,0.907,0.0263,1.013,3.62,0.0445,-0.31,263.61,1416300
4704.T,6758.T,0.954,0.0109,1.141,3.29,0.0436,0.14,263.19,864100
7201.T,9022.T,0.734,0.0444,1.153,4.1,0.0508,-1.07,261.67,454479
4523.T,4911.T,0.632,0.0096,0.218,7.94,0.0416,0.1,260.85,806500
4755.T,7270.T,0.898,0.0042,0.871,4.21,0.0446,0.26,259.8,331300
4523.T,5333.T,0.631,0.0412,0.179,7.8,0.0412,-0.01,259.73,929900
4005.T,6971.T,0.855,0.0479,0.733,6.1,0.0432,-0.11,257.78,310259
6471.T,8354.T,0.944,0.0359,0.991,5.86,0.0511,-0.95,257.62,773850
4568.T,4704.T,0.888,0.0095,0.707,4.66,0.0502,-0.85,257.17,809500
4568.T,6758.T,0.887,0.0414,0.852,5.0,0.0491,-0.64,253.29,601400
6963.T,9107.T,0.938,0.0136,1.667,3.2,0.062,1.6,253.29,643900
6506.T,7203.T,0.791,0.0328,1.107,5.58,0.0611,1.66,251.32,847700
6752.T,7762.T,0.926,0.0475,0.831,6.06,0.0598,1.41,246.87,471250
4502.T,6971.T,0.917,0.017,1.178,6.27,0.047,-0.27,246.4,818650
4063.T,6963.T,0.925,0.0355,0.663,3.74,0.0493,-0.42,246.21,1044600
4005.T,5332.T,0.81,0.0279,0.407,6.56,0.0491,0.53,245.7,594109
8015.T,8630.T,0.935,0.041,1.308,4.67,0.0475,0.19,243.48,1228800
8766.T,9104.T,0.803,0.0306,0.44,5.1,0.0517,0.67,241.98,1332300
6302.T,6305.T,0.941,0.0043,0.996,4.22,0.052,0.47,237.13,1085500
6954.T,7203.T,0.874,0.007,1.457,5.59,0.0575,1.01,237.11,955700
6954.T,8316.T,0.886,0.0482,0.873,6.17,0.0522,-0.49,233.99,1177000
6302.T,6723.T,0.923,0.0106,0.794,3.73,0.055,-0.54,229.77,794750
5333.T,8354.T,0.947,0.0095,1.049,7.04,0.0545,0.54,228.5,1099800
1812.T,2897.T,0.882,0.0208,1.765,3.56,0.0538,-0.38,227.33,918400
4005.T,8015.T,0.801,0.0085,0.464,7.37,0.0518,0.31,225.62,690609
1812.T,6954.T,0.87,0.0404,0.826,5.92,0.0533,-0.36,224.51,1238000
6326.T,6586.T,0.915,0.0231,1.179,5.08,0.0549,0.44,223.95,829100
5332.T,6302.T,0.946,0.0185,1.12,3.76,0.0523,0.08,221.43,1063600
5332.T,6326.T,0.931,0.0453,1.177,4.8,0.0563,-0.42,219.4,817000
4519.T,8001.T,0.863,0.0469,1.262,4.39,0.0526,-0.1,218.45,1050500
8766.T,9101.T,0.789,0.014,0.889,4.61,0.0527,-0.14,217.69,1303200
6723.T,8331.T,0.936,0.0277,0.964,3.72,0.0555,0.18,214.13,495700
1803.T,6971.T,0.889,0.0114,1.333,14.37,0.0737,-1.4,211.71,544550
4188.T,5021.T,0.831,0.0304,0.85,9.39,0.0539,0.12,210.36,532509
6471.T,6723.T,0.928,0.0213,0.923,4.58,0.0628,-0.4,200.54,392200
7270.T,9142.T,0.838,0.024,3.578,3.51,0.0615,-0.28,199.0,624600
5711.T,8334.T,0.962,0.0288,1.799,3.6,0.0626,0.29,198.98,792750
6954.T,9022.T,0.692,0.0466,1.686,5.53,0.0849,1.23,186.4,1042400
6302.T,6586.T,0.911,0.0015,1.231,4.86,0.0622,0.01,185.68,1075700
5711.T,6503.T,0.959,0.0275,1.875,5.13,0.0676,-0.07,175.79,1154700
5202.T,5401.T,0.762,0.0393,2.368,4.1,0.0884,-0.45,153.82,107400
1803.T,7203.T,0.803,0.0308,1.687,11.03,0.0911,0.48,147.6,618900
6471.T,6586.T,0.858,0.0439,1.316,8.42,0.091,0.23,139.98,673150
1803.T,6305.T,0.806,0.0165,0.865,12.83,0.0975,-0.28,132.12,850300
